timebase,lv_dab.i_out,lv_dab.i_in,lv_dab.v_out,mv_dab.v_out,mv_dab.i_in
0,0,-3.19995,23.671,250,0
4e-05,0,-98.3151,21.1647,238.133,0
8e-05,0,-154.133,18.616,231.93,1.93272
0.00012,0,-143.828,16.358,228.837,5.86291
0.00016,0,-100.448,13.8956,226.42,10.618
0.0002,0,-64.9473,11.4362,223.199,15.0824
0.00024,0,-54.6557,9.25367,219.074,18.8658
0.00028,0,-62.1863,6.99061,214.747,22.191
0.00032,0,-71.4816,4.80125,210.896,25.4461
0.00036,0,-72.4755,2.41049,207.727,28.8519
0.0004,0,-65.1654,0.0786349,205.056,32.4049
0.00044,0,-55.1081,-1.83961,202.605,35.9916
0.00048,0,-47.204,-3.82435,200.236,39.5121
0.00052,0,-42.7273,-5.90256,197.976,42.9336
0.00056,0,-40.1205,-7.98372,195.93,46.2724
0.0006,0,-37.3223,-10.0885,194.17,49.5567
0.00064,0,-33.3873,-12.2223,192.705,52.8035
0.00068,0,-28.6314,-13.7901,191.499,56.0161
0.00072,0,-23.8306,-15.6239,190.514,59.1914
0.00076,0,-19.5288,-17.3613,189.735,62.3282
0.0008,0,-15.7831,-19.263,189.166,65.4267
0.00084,0,-12.367,-20.9131,188.813,68.4899
0.00088,0,-9.0363,-22.5359,188.68,71.5223
0.00092,0,-5.70899,-23.9902,188.76,74.5251
0.00096,0,-2.44301,-25.5683,189.042,77.5003
0.001,0,0.6416,-27.0003,189.514,80.4489
0.00104,0,3.47834,-28.1178,190.168,83.3715
0.00108,0,6.09828,-29.7812,190.998,86.2666
0.00112,0,8.48888,-30.8464,191.998,89.1333
0.00116,0,10.6959,-32.0695,193.158,91.9688
0.0012,0,12.7317,-33.3658,194.472,94.771
0.00124,0,14.565,-34.3685,195.929,97.5353
0.00128,0,16.1992,-35.1832,197.521,100.257
0.00132,0,17.6667,-36.1285,199.238,102.932
0.00136,0,18.9588,-36.9627,201.071,105.554
0.0014,0,20.0602,-37.6807,203.01,108.117
0.00144,0,20.9729,-38.3736,205.046,110.614
0.00148,0,21.7013,-38.9639,207.168,113.038
0.00152,0,22.2565,-39.263,209.369,115.381
0.00156,0,22.6844,-39.7724,211.637,117.635
0.0016,0,22.9628,-40.3391,213.965,119.792
0.00164,0,23.0352,-40.2879,216.34,121.845
0.00168,0,22.9791,-40.5076,218.754,123.786
0.00172,0,22.8123,-40.4991,221.199,125.607
0.00176,0,22.5435,-40.5373,223.664,127.301
0.0018,0,22.1475,-40.4206,226.141,128.86
0.00184,0,21.6223,-40.4786,228.619,130.279
0.00188,0,20.9348,-40.279,231.09,131.551
0.00192,0,20.1145,-39.801,233.545,132.67
0.00196,0,19.2504,-39.287,235.979,133.633
0.002,0,18.3845,-38.6273,238.384,134.435
0.00204,0,17.5149,-38.1185,240.748,135.073
0.00208,0,16.5642,-37.2965,243.064,135.545
0.00212,0,15.5348,-36.5598,245.323,135.848
0.00216,0,14.4336,-35.4769,247.52,135.984
0.0022,0,13.3355,-34.3889,249.648,135.952
0.00224,0,12.2747,-33.6299,251.702,135.756
0.00228,0,11.1481,-32.3124,253.674,135.396
